fileno,observation,ucl_alpha_0.01,ucl_alpha_0.02,ucl_alpha_0.12000000000000001,ucl_alpha_0.22,ucl_alpha_0.32000000000000006,ucl_alpha_0.42000000000000004,ucl_alpha_0.52,ucl_alpha_0.6200000000000001,ucl_alpha_0.7200000000000001,ucl_alpha_0.8200000000000001,ucl_alpha_0.92,filename,test_younger,train_younger,difference
12055,139.3640489932693,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,294.2778915217119,12055_DebbieReynolds_78_f.jpg,1,1,1
12092,91.98460609575591,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,12092_EvaMarieSaint_30_f.jpg,1,1,1
12092,91.98460609575591,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,1038.3864909490185,12092_EvaMarieSaint_30_f.jpg,1,1,1
12103,106.43808517630578,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,12103_EvaMarieSaint_44_f.jpg,1,1,1
12103,106.43808517630578,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,694.2958167347988,12103_EvaMarieSaint_44_f.jpg,1,1,1
12115,118.37532304284719,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,12115_EvaMarieSaint_73_f.jpg,1,1,1
12115,118.37532304284719,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,1583.6706918896875,12115_EvaMarieSaint_73_f.jpg,1,1,1
12121,125.75160768271053,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,12121_EvaMarieSaint_82_f.jpg,1,1,1
12121,125.75160768271053,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,606.8189045141457,12121_EvaMarieSaint_82_f.jpg,1,1,1
12329,120.88675060887863,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,12329_MyrnaLoy_51_f.jpg,1,1,1
12329,120.88675060887863,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,2750.9350205821393,12329_MyrnaLoy_51_f.jpg,1,1,1
12330,122.32165369547192,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,12330_MyrnaLoy_75_f.jpg,1,1,1
12330,122.32165369547192,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,689.3700365057222,12330_MyrnaLoy_75_f.jpg,1,1,1
12337,111.56350117061265,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,12337_MyrnaLoy_20_f.jpg,1,1,1
12337,111.56350117061265,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,50.871012717678305,12337_MyrnaLoy_20_f.jpg,1,1,1
12364,137.23307248936726,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,12364_MyrnaLoy_67_f.jpg,1,1,1
12364,137.23307248936726,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,44.76441775359278,12364_MyrnaLoy_67_f.jpg,1,1,1
12376,122.06586920983182,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,12376_MyrnaLoy_33_f.jpg,1,1,1
12376,122.06586920983182,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,661.4227951987178,12376_MyrnaLoy_33_f.jpg,1,1,1
12425,131.36172274182127,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,12425_AngieDickinson_47_f.jpg,1,1,1
12425,131.36172274182127,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,1366.6988467646331,12425_AngieDickinson_47_f.jpg,1,1,1
12438,78.74915322640618,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,12438_AngieDickinson_31_f.jpg,1,0,0
12438,78.74915322640618,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,1831.920392535432,12438_AngieDickinson_31_f.jpg,1,0,0
12445,134.49342772850628,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,12445_AngieDickinson_42_f.jpg,1,1,1
12445,134.49342772850628,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,325.89002802006445,12445_AngieDickinson_42_f.jpg,1,1,1
12457,154.93949398134828,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,12457_AngieDickinson_76_f.jpg,1,1,1
12457,154.93949398134828,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,51.68799866524915,12457_AngieDickinson_76_f.jpg,1,1,1
12607,116.57020870669112,315.70972367835077,315.70972367835077,315.70972367835077,315.70972367835077,315.70972367835077,315.70972367835077,315.70972367835077,315.70972367835077,315.70972367835077,315.70972367835077,315.70972367835077,12607_FrancesDee_43_f.jpg,1,1,1
